X,Y,Ponto,Data,X,Y,Medição,Período,Limite,LAEq,L90,LAEq_Rlaeq,L90_Rlaeq,Obs,icon_url
-49.319544428189,-28.6059556638656,"15",2020/10/28,"664306","6834516",2020 Noturno,Noturno,"60",46.44,45.50,Atende,Atende,,./0.png
-49.3194594496383,-28.6055124158932,"16",2020/10/28,"664315","6834565",2020 Noturno,Noturno,"60",53.34,47.00,Atende,Atende,,./0.png
-49.3203232519041,-28.6045665367979,"17",2020/10/28,"664232","6834671",2020 Noturno,Noturno,"60",61.50,50.60,Não atende,Atende,Influência de latidos de cachorros,./2.png
-49.3209921066655,-28.6043040906339,"18",2020/10/28,"664167","6834701",2020 Noturno,Noturno,"60",48.58,45.50,Atende,Atende,,./0.png
-49.3239597182894,-28.6022381279847,"19",2020/10/28,"663880","6834934",2020 Noturno,Noturno,"60",53.41,45.60,Atende,Atende,,./0.png
-49.3238420136094,-28.6032113073052,"20",2020/10/28,"663890","6834826",2020 Noturno,Noturno,"60",57.45,55.50,Atende,Atende,,./0.png
-49.3252842767483,-28.6031840090736,"21",2020/10/28,"663749","6834831",2020 Noturno,Noturno,"60",55.77,55.40,Atende,Atende,,./0.png
-49.3256612676014,-28.6032698850363,"1",2021/09/29,"663712","6834822",2021 Diurno,Diurno,"70",63.47,56.60,Atende,Atende,,./0.png
-49.3257189560736,-28.604145963976,"2",2021/09/29,"663705","6834725",2021 Diurno,Diurno,"70",61.37,51.22,Atende,Atende,,./0.png
-49.3256394415495,-28.6052910801736,"3",2021/09/29,"663711","6834598",2021 Diurno,Diurno,"70",60.45,51.17,Atende,Atende,,./0.png
-49.3256695274546,-28.6066180376716,"4",2021/09/29,"663706","6834451",2021 Diurno,Diurno,"70",61.04,55.20,Atende,Atende,,./0.png
-49.3257209845359,-28.60853184434,"5",2021/09/29,"663698","6834239",2021 Diurno,Diurno,"70",56.24,50.51,Atende,Atende,,./0.png
-49.3243750188578,-28.6089303353121,"6",2021/10/06,"663829","6834193",2021 Diurno,Diurno,"70",70.28,55.61,Não atende,Atende,Influência da Rod. Ambrósio Dalló,./2.png
-49.3229737178837,-28.6089491039106,"7",2021/10/06,"663966","6834189",2021 Diurno,Diurno,"70",69.84,60.57,Atende,Atende,,./0.png
-49.3210417590861,-28.6088981157792,"8",2021/10/06,"664155","6834192",2021 Diurno,Diurno,"70",66.85,47.56,Não atende,Atende,Influência da Rod. Ambrósio Dalló e de animais,./0.png
-49.3210516244443,-28.6076348248297,"9",2021/10/06,"664156","6834332",2021 Diurno,Diurno,"70",53.96,50.60,Atende,Atende,,./0.png
-49.3210370230594,-28.6066239133239,"10",2021/10/06,"664159","6834444",2021 Diurno,Diurno,"70",55.92,50.65,Não atende,Atende,Influência do trânsito de veículos e latido de animais,./0.png
-49.321055712737,-28.6060917062651,"11",2021/10/06,"664158","6834503",2021 Diurno,Diurno,"70",57.15,50.80,Não atende,Atende,Ruído metálico da empresa (manutenção CM),./0.png
